timestamp,total_deployments,deployments_with_replicas,deployments_with_zero_replicas,pods_with_crashloopbackoff,nodes_with_issues
2024-11-04 10:21:53,703,647,56,50,0
2024-11-04 10:37:08,703,646,57,46,0
2024-11-04 10:40:05,703,647,56,42,0
2024-11-04 10:42:21,703,646,57,39,0
2024-11-04 10:45:07,703,646,57,53,1
2024-11-04 10:52:24,703,646,57,52,0
2024-11-04 10:53:48,703,647,56,49,0
2024-11-04 10:55:11,706,647,59,50,0
2024-11-04 11:01:26,706,648,58,48,1
2024-11-04 11:06:42,706,646,60,39,1
2024-11-04 11:11:59,706,650,56,40,1
2024-11-04 11:17:17,706,650,56,38,0
2024-11-04 11:20:30,706,649,59,45,0
2024-11-04 11:23:48,706,648,58,38,0
2024-11-04 11:26:17,706,648,58,43,0
2024-11-04 11:27:38,706,647,59,44,0
2024-11-04 11:29:32,706,648,58,35,0
2024-11-04 11:32:57,706,650,56,47,0
2024-11-04 11:36:38,706,650,56,42,1
2024-11-04 11:39:00,706,650,56,47,0
2024-11-04 11:42:13,706,649,57,53,34
2024-11-04 11:55:07,706,649,57,43,0
2024-11-04 11:58:46,706,649,57,33,0
2024-11-04 12:02:18,706,647,59,36,0
